S. No.,District Name,PMJDY Accounts,Balance in PMJDY Accounts (in Rs.Crore)
1,Araria,1699222,398.04
2,Arwal,436663,145.26
3,Aurangabad,1357920,500.55
4,Banka,1227852,445.6
5,Begusarai,1493681,482.52
6,Bhagalpur,1560393,578.59
7,Bhojpur,1230333,549.61
8,Buxar,1011657,368.18
9,Darbhanga,1449653,574.76
10,Gaya,2365087,911.51
11,Gopalganj,1278308,527.9
12,Jamui,943864,360.51
13,Jehanabad,500136,181.69
14,Kaimur (Bhabua),870892,250.26
15,Katihar,1651590,498.05
16,Khagaria,931308,287.49
17,Kishanganj,1145794,227.2
18,Lakhisarai,559860,222.99
19,Madhepura,1021266,294.95
20,Madhubani,1954281,625.42
21,Munger,519018,245.74
22,Muzaffarpur,2384019,817.79
23,Nalanda,1156388,551.98
24,Nawada,1161817,431.78
25,Pashchim Champaran,2018220,498.02
26,Patna,2277762,982.14
27,Purba Champaran,2444921,697.05
28,Purnia,1877725,473.16
29,Rohtas,1389745,506.04
30,Saharsa,903838,254.08
31,Samastipur,2296409,792.91
32,Saran,2246370,863.59
33,Sheikhpura,299673,134.08
34,Sheohar,309087,99.53
35,Sitamarhi,1741184,618.11
36,Siwan,1469914,656.61
37,Supaul,1109009,363.04
38,Vaishali,1578054,631.85
Grand Total,Grand Total,51872913,18048.59
