Sl. No.,District,As on March 2022,As on March 2023,As on March 2024,As on 26 June 2024
1,Ahmednagar,1446702,1498126,1569746,1583572
2,Akola,528455,540403,595717,600457
3,Amravati,790286,811723,864460,874607
4,Aurangabad,1320545,1379934,1463857,1471827
5,Beed,1177084,1202423,1230688,1234407
6,Bhandara,436535,456731,484739,489787
7,Buldhana,848480,875497,899849,901602
8,Chandrapur,641408,660696,672629,677753
9,Dhule,702361,734257,793401,802951
10,Gadchiroli,297523,308162,321744,326706
11,Gondia,590178,616669,643917,649864
12,Hingoli,582453,594065,617214,621439
13,Jalgaon,1327464,1399173,1470764,1486562
14,Jalna,798645,804695,815136,818004
15,Kolhapur,1209694,1266067,1375557,1386147
16,Latur,884657,888028,906703,910355
17,Mumbai,671014,683407,575839,580066
18,Mumbai Suburban,684030,747708,933412,941848
19,Nagpur,1175361,1240328,1313122,1326710
20,Nanded,1391214,1416621,1453164,1459057
21,Nandurbar,654908,680251,726253,735895
22,Nashik,2064521,2079340,2175164,2193894
23,Osmanabad,684593,699311,715236,717669
24,Palghar,NA,NA,891668,902462
25,Parbhani,761390,782847,868445,871870
26,Pune,1666720,1698242,1862191,1885053
27,Raigad,501709,528713,616516,602108
28,Ratnagiri,385890,403857,366885,368970
29,Sangli,766757,800066,873517,880986
30,Satara,785788,780198,819039,824599
31,Sindhudurg,214198,217835,188758,189596
32,Solapur,1529875,1571442,1615632,1626977
33,Thane,2092988,2197115,1449275,1458660
34,Wardha,334941,349694,355402,358301
35,Washim,383248,389499,406676,410389
36,Yavatmal,1059112,1101900,1148900,1159782
Total,Total,31390727,32405023,34081215,34330932
