S.No,State/UT,Number of PMJDY Accounts,Deposit - (in Rs. Crore)
1,Andaman and Nicobar Islands,46840,31.09
2,Andhra Pradesh,11793089,4005.69
3,Arunachal Pradesh,383425,224.33
4,Assam,20745021,5405.1
5,Bihar,51872913,18048.59
6,Chandigarh,315604,149.38
7,Chhattisgarh,16140135,5042.45
8,Dadra and Nagar Haveli and Daman and Diu,215326,115.25
9,Delhi,5526106,2314.92
10,Goa,175532,133.66
11,Gujarat,17025677,7534.47
12,Haryana,8682947,4811.29
13,Himachal Pradesh,1639411,1106
14,Jammu and Kashmir,2584501,1581.62
15,Jharkhand,16433530,5959.27
16,Karnataka,16409698,6391.73
17,Kerala,5086574,2191.01
18,Ladakh,21027,25.06
19,Lakshadweep,9911,16.13
20,Madhya Pradesh,37755462,9737.28
21,Maharashtra,31638762,10938.9
22,Manipur,1033849,227.91
23,Meghalaya,630315,339.94
24,Mizoram,314921,144.34
25,Nagaland,349118,97.87
26,Odisha,18977972,7422.18
27,Puducherry,170265,70.37
28,Punjab,7908413,3496.38
29,Rajasthan,31842478,13849.83
30,Sikkim,86297,48.12
31,Tamil Nadu,12207315,3417.87
32,Telangana,10464845,3027.25
33,Tripura,895144,426.43
34,Uttar Pradesh,81132615,33488.9
35,Uttarakhand,2963899,1650.37
36,West Bengal,45453885,16408.24
Total,Total,458932822,169879.24
